player_name,,player_id,league_id,total_matches_played,total_innings_played,overs,maidens,runs,wickets,average,economy,strike_rate,,,
Ashton Turner,(,81,3,16,7,12.2,0,94,2,47,7.62,37,),"81, 3, 16, 7, 12.2, 0, 94, 2, 47, 7.62, 37","(81, 3, 16, 7, 12.2, 0, 94, 2, 47, 7.62, 37),  -- Ashton Turner"
Cooper Connolly,(,89,3,4,2,2,0,15,0,0,7.5,NULL,),"89, 3, 4, 2, 2, 0, 15, 0, 0, 7.5, NULL","(89, 3, 4, 2, 2, 0, 15, 0, 0, 7.5, NULL),  -- Cooper Connolly"
Faf du Plessis,(,56,3,7,0,0,0,0,0,0,NULL,NULL,),"56, 3, 7, 0, 0, 0, 0, 0, 0, NULL, NULL","(56, 3, 7, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Faf du Plessis"
Stephen Eskinazi,(,91,3,9,0,0,0,0,0,0,NULL,NULL,),"91, 3, 9, 0, 0, 0, 0, 0, 0, NULL, NULL","(91, 3, 9, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Stephen Eskinazi"
Michael Neser,(,107,3,17,16,58.1,0,495,26,19.03,8.51,13.4,),"107, 3, 17, 16, 58.1, 0, 495, 26, 19.03, 8.51, 13.4","(107, 3, 17, 16, 58.1, 0, 495, 26, 19.03, 8.51, 13.4),  -- Michael Neser"
Nathan McSweeney,(,106,3,5,2,5,0,30,1,30,6,30,),"106, 3, 5, 2, 5, 0, 30, 1, 30, 6, 30","(106, 3, 5, 2, 5, 0, 30, 1, 30, 6, 30),  -- Nathan McSweeney"
Spencer Johnson,(,110,3,10,10,37.2,1,282,9,31.33,7.55,24.8,),"110, 3, 10, 10, 37.2, 1, 282, 9, 31.33, 7.55, 24.8","(110, 3, 10, 10, 37.2, 1, 282, 9, 31.33, 7.55, 24.8),  -- Spencer Johnson"
Xavier Bartlett,(,109,3,6,6,18,0,163,5,32.6,9.05,21.6,),"109, 3, 6, 6, 18, 0, 163, 5, 32.6, 9.05, 21.6","(109, 3, 6, 6, 18, 0, 163, 5, 32.6, 9.05, 21.6),  -- Xavier Bartlett"
Marnus Labuschagne,(,102,3,8,1,1,0,20,0,0,20,NULL,),"102, 3, 8, 1, 1, 0, 20, 0, 0, 20, NULL","(102, 3, 8, 1, 1, 0, 20, 0, 0, 20, NULL),  -- Marnus Labuschagne"
Sam Billings,(,100,3,8,0,0,0,0,0,0,NULL,NULL,),"100, 3, 8, 0, 0, 0, 0, 0, 0, NULL, NULL","(100, 3, 8, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Sam Billings"
Usman Khawaja,(,101,3,8,0,0,0,0,0,0,NULL,NULL,),"101, 3, 8, 0, 0, 0, 0, 0, 0, NULL, NULL","(101, 3, 8, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Usman Khawaja"
Colin Munro,(,25,3,8,0,0,0,0,0,0,NULL,NULL,),"25, 3, 8, 0, 0, 0, 0, 0, 0, NULL, NULL","(25, 3, 8, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Colin Munro"
Jimmy Peirson,(,104,3,18,0,0,0,0,0,0,NULL,NULL,),"104, 3, 18, 0, 0, 0, 0, 0, 0, NULL, NULL","(104, 3, 18, 0, 0, 0, 0, 0, 0, NULL, NULL),  -- Jimmy Peirson"
Sean Abbott,(,116,3,15,15,54.4,2,407,29,14.03,7.44,11.3,),"116, 3, 15, 15, 54.4, 2, 407, 29, 14.03, 7.44, 11.3","(116, 3, 15, 15, 54.4, 2, 407, 29, 14.03, 7.44, 11.3),  -- Sean Abbott"
Jackson Bird,(,121,3,6,6,22,0,158,8,19.75,7.18,16.5,),"121, 3, 6, 6, 22, 0, 158, 8, 19.75, 7.18, 16.5","(121, 3, 6, 6, 22, 0, 158, 8, 19.75, 7.18, 16.5),  -- Jackson Bird"
Ben Dwarshuis,(,119,3,12,12,43.5,1,347,15,23.13,7.91,17.5,),"119, 3, 12, 12, 43.5, 1, 347, 15, 23.13, 7.91, 17.5","(119, 3, 12, 12, 43.5, 1, 347, 15, 23.13, 7.91, 17.5),  -- Ben Dwarshuis"
Izharulhaq Naveed,(,120,3,9,9,35,0,258,9,28.66,7.37,23.3,),"120, 3, 9, 9, 35, 0, 258, 9, 28.66, 7.37, 23.3","(120, 3, 9, 9, 35, 0, 258, 9, 28.66, 7.37, 23.3),  -- Izharulhaq Naveed"
